date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:35	832/832	---M--	200	added ('OK')	image/png	etag:%22fafc7ee904169ea8ca60850fe998e492-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/refresh1.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/refresh1.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/main.css)
16:03:37	62/62	---M--	200	added ('OK')	image/gif	etag:%22945e0e5b9f47784e3c4ec78b435f8cc0-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/tooltip-arrow.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/tooltip-arrow.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/main.css)
16:03:40	16081/16081	---M--	200	added ('OK')	image/jpeg	etag:%22987738dc78334b72aa845608228eeb6a-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/submit-btn.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/submit-btn.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/main.css)
16:03:41	156/156	---M--	200	added ('OK')	text/css	etag:%22ba6615d00c1bbd61efc7756dabfbd7b2-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.base.css	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.base.css	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css)
16:03:43	14639/14639	---MCZ	200	added ('OK')	text/css	etag:%224f4a0d278b5be3bd7b4e60482aec721f-ssl-df%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css)
16:03:45	1745/1745	---M-Z	200	added ('OK')	text/css	etag:%221a0c49a62bcc351327a415b7bd7a1270-ssl-df%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.button.css	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.button.css	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.base.css)
16:03:47	3298/3298	---M-Z	200	added ('OK')	text/css	etag:%229f2a9139e0ba00c3b44ab91c6ae9e2ea-ssl-df%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.datepicker.css	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.datepicker.css	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.base.css)
16:03:49	4369/4369	---M--	200	added ('OK')	image/png	etag:%22d502cdd669beec880b56a0697b9660bd-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_222222_256x240.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
16:03:50	123/123	---M--	200	added ('OK')	image/png	etag:%2251c0f888bcc59c34ad3fd37f0ec51923-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_888888_256x240.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
16:03:52	4369/4369	---M--	200	added ('OK')	image/png	etag:%22d502cdd669beec880b56a0697b9660bd-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_454545_256x240.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
16:03:54	123/123	---M--	200	added ('OK')	image/png	etag:%2251c0f888bcc59c34ad3fd37f0ec51923-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_2e83ff_256x240.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
16:03:55	123/123	---M--	200	added ('OK')	image/png	etag:%2251c0f888bcc59c34ad3fd37f0ec51923-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_cd0a0a_256x240.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-icons_cd0a0a_256x240.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
16:03:57	123/123	---M--	200	added ('OK')	image/png	etag:%2251c0f888bcc59c34ad3fd37f0ec51923-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/jquery.ui.theme.css)
